ClassName(Skill%);Name;HP;ATK;DEF;EXP;HoldingExplanation;floating;boating;Ghost;Fire;Ice;thunder;Magic;紅魔郷;妖々夢;永夜抄;花映塚;風神録;地霊殿;星蓮船;神霊廟;輝針城;番外伝;ATTACK_SE
;神風パルスィ;110;60;15;2000;周りの敵のMAXHPの半分のダメージを当たるぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT
;*パルスィ*;6;6;6;6;周りの敵のMAXHPの半分のダメージを当たるぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT
フランドール(20%);熱戦フラン;55;36;5;105;敵を殴り飛ばすぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_SWORD
;激戦フラン;145;82;10;1800;敵を殴り飛ばすぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_SWORD
;超激戦フラン;170;126;10;3450;敵を殴り飛ばすぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_SWORD
;*フランドール*;50;200;0;4300;敵を殴り飛ばすぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_SWORD
ミスティア(30%);さえずるミスチー;32;26;5;69;周囲の敵を混乱させるぞ;true;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;f;ATTACK_SPECIAL_BODY
;歌うミスチー;70;36;10;500;周囲の敵を混乱させるぞ;true;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;f;ATTACK_SPECIAL_BODY
;熱唱ミスチー;135;63;15;3000;周囲の敵を混乱させるぞ;true;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;f;ATTACK_SPECIAL_BODY
;*ミスティア*;145;30;20;3100;周囲の敵を混乱させるぞ;true;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;f;ATTACK_SPECIAL_BODY
メディスン(20%);メディやん;35;18;10;60;周囲の敵に毒を撒くぞ;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SMALL_OBJECT
;まじメディやん;65;30;15;150;周囲の敵に毒を撒くぞ;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SMALL_OBJECT
;ほんまメディやん;110;60;20;1900;周囲の敵に毒を撒くぞ;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SMALL_OBJECT
;*メディスン*;70;30;30;1000;周囲の敵に毒を撒くぞ;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SMALL_OBJECT
ゆっくり霊夢(0%);ゆっくり;5;2;2;2;鈍足攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_YUKKURI
;穴倉ゆっくり;5;4;2;3;鈍足攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_YUKKURI
;洞窟ゆっくり;5;50;200;500;鈍足攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_YUKKURI
;*ゆっくり霊夢*;5;100;255;1000;鈍足攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_YUKKURI
リグルナイトバグ(20%);ホイッスル・リグル;13;7;5;8;蹴飛ばすぞ;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;ATTACK_HANDS
;イナズマ・リグル;75;48;10;520;蹴飛ばすぞ;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;ATTACK_HANDS
;リグル・ツバサ;126;74;15;2150;蹴飛ばすぞ;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;ATTACK_HANDS
;*リグルナイトバグ*;120;80;40;2500;蹴飛ばすぞ;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;ATTACK_HANDS
リリーホワイト(50%);リリー・ジャム;56;12;10;76;HPや状態異常をを回復するぞ;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SPEAR
;ストーン・リリー;80;20;15;700;HPや状態異常をを回復するぞ;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SPEAR
;リリー・ダイアモンド;125;35;20;1900;HPや状態異常をを回復するぞ;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SPEAR
;*リリーホワイト*;10;10;10;10;HPや状態異常をを回復するぞ;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SPEAR
ルーミア(0%);モグモグルーミア;7;5;3;6;隠れるぞ;true;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_EAT
;パクパクルーミア;35;22;10;25;隠れるぞ;true;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_EAT
;メシウマルーミア;95;80;15;1450;隠れるぞ;true;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_EAT
;宵闇ルーミア;164;135;20;3000;隠れるぞ;true;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_EAT
レティ(20%);コールドレティ;45;25;10;80;通常攻撃をするぞ;f;f;f;f;true;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SHOOT_ICY
;エターナルレティ;85;55;15;1500;通常攻撃をするぞ;f;f;f;f;true;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SHOOT_ICY
;パーフェクトレティ;156;80;20;2210;通常攻撃をするぞ;f;f;f;f;true;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SHOOT_ICY
;*レティ*;50;60;10;300;通常攻撃をするぞ;f;f;f;f;true;f;f;f;true;f;f;f;f;f;f;f;f;ATTACK_SHOOT_ICY
レミリア(70%);飛びつきレミリア;65;42;10;550;飛びついて攻撃をするぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;速攻のヴァンパイア;120;100;15;4500;飛びついて攻撃をするぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;最強無敵の吸血姫;170;100;20;5500;飛びついて攻撃をするぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;究極生物レミリア;255;120;25;6000;飛びついて攻撃をするぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
伊吹萃香(0%);ぐるぐる萃香;61;35;10;200;会心攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;true;ATTACK_HEAVY
;ぐるぐーる萃香;89;60;15;1150;会心攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;true;ATTACK_HEAVY
;ぐるんぐるん萃香;190;114;20;3900;会心攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;true;ATTACK_HEAVY
;*伊吹萃香*;120;130;10;4500;会心攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;true;ATTACK_HEAVY
因幡てゐ(0%);落としてゐ;30;17;5;67;フロアに罠をしかけるぞ;f;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;f;ATTACK_HANDS
;てゐッ嫌い;45;33;10;120;フロアに罠をしかけるぞ;f;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;f;ATTACK_HANDS
;永遠てゐ;70;70;15;2500;フロアに罠をしかけるぞ;f;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;f;ATTACK_HANDS
;*因幡てゐ*;7;7;7;777;フロアに罠をしかけるぞ;f;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;f;ATTACK_HANDS
雲居一輪(0%);一輪軍曹;30;20;10;30ff;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HANDS
;一輪大佐;50;34;15;300ff;f;f;f;f;true;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HANDS
;一輪将軍;80;55;20;2300ff;f;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HANDS
;*雲居一輪*;999;255;255;9999ff;f;f;true;f;true;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HANDS
永江衣玖(0%);メタル衣玖;31;18;10;26;部屋内に雷を落とすぞ;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;f;true;ATTACK_ROOLING
;はぐれ衣玖;50;28;10;300;部屋内に雷を落とすぞ;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;f;true;ATTACK_ROOLING
;キング衣玖;80;64;15;1200;部屋内に雷を落とすぞ;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;f;true;ATTACK_ROOLING
;*永江衣玖*;5;1;999;19300;部屋内に雷を落とすぞ;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;f;true;ATTACK_ROOLING
洩矢諏訪子(35%);ケロ諏訪子;61;1;10;300;部屋内の敵の防御力を無くすぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HEAVY
;ケロケロ諏訪子;100;3;15;1200;部屋内の敵の防御力を無くすぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HEAVY
;ドシャブリ諏訪子;155;5;20;2500;部屋内の敵の防御力を無くすぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HEAVY
;*洩矢諏訪子*;150;6;30;3000;部屋内の敵の防御力を無くすぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_HEAVY
黄金ゆっくり(0%);黒鉄ゆっくり;5;60;999;1500;倍速状態になるぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_YUKKURI
;白銀ゆっくり;10;70;999;3000;倍速状態になるぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_YUKKURI
;黄金ゆっくり;10;80;999;5000;倍速状態になるぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_YUKKURI
;*黄金ゆっくり*;15;90;999;9999;倍速状態になるぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_YUKKURI
火焔猫燐(20%);おりんりん;55;31;10;140;敵を召喚するぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SCRATCH
;おりりりん;77;37;15;300;敵を召喚するぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SCRATCH
;おりんりりんり;120;75;20;2800;敵を召喚するぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SCRATCH
;*火焔猫燐*;120;1;25;5000;敵を召喚するぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SCRATCH
宮古芳香(20%);ペコ芳香;45;22;5;56;満腹度を回復するぞ;f;f;true;f;f;f;f;f;f;f;f;f;f;f;true;f;f;ATTACK_SPEAR
;ペコペコ芳香;66;37;10;260;満腹度を回復するぞ;f;f;true;f;f;f;f;f;f;f;f;f;f;f;true;f;f;ATTACK_SPEAR
;ペッコペコ芳香;130;65;15;1900;満腹度を回復するぞ;f;f;true;f;f;f;f;f;f;f;f;f;f;f;true;f;f;ATTACK_SPEAR
;*宮古芳香*;500;1;1;9999;満腹度を回復するぞ;f;f;true;f;f;f;f;f;f;f;f;f;f;f;true;f;f;ATTACK_SPEAR
犬走椛(0%);犬もみじ;30;18;10;27;透視状態になるぞ;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_SWORD
;狼もみじ;55;35;20;240;透視状態になるぞ;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_SWORD
;白狼もみじ;90;68;30;1680;透視状態になるぞ;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_SWORD
;*犬走椛*;120;111;50;3000;透視状態になるぞ;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_SWORD
鍵山雛(100%);吸い取り雛;35;13;5;20;自らの状態異常を吸い取るぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_ROOLING
;バキューム雛;55;30;15;300;自らの状態異常を吸い取るぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_ROOLING
;ダイソン雛;115;55;15;2000;自らの状態異常を吸い取るぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_ROOLING
;*鍵山雛*;50;50;50;3000;自らの状態異常を吸い取るぞ;f;true;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;ATTACK_ROOLING
古明地こいし(0%);エーテルこいし;50;29;5;139;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT
;ミラージュこいし;75;32;5;450;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT
;アストラルこいし;115;59;5;3000;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT
;*古明地こいし*;130;70;15;3900;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT
古明地さとり(20%);ラブさとり;40;25;10;200;フロア内に空とこいしを召喚するぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT_ICY
;ラブラブさとり;65;40;15;1000;フロア内に空とこいしを召喚するぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT_ICY
;ラブチュッチュさとり;110;55;20;2105;フロア内に空とこいしを召喚するぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT_ICY
;*古明地さとり*;123;80;45;3000;フロア内に空とこいしを召喚するぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SHOOT_ICY
紅美鈴(40%);ファイア美鈴;46;20;10;50;火を吹くぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_AURA
;フレア美鈴;90;31;15;260;火を吹くぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_AURA
;エイジャ美鈴;150;67;20;2400;火を吹くぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_AURA
;*紅美鈴*;155;99;25;3000;火を吹くぞ;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;f;f;ATTACK_AURA
黒谷ヤマメ(20%);ヤマメータ;44;27;5;70;キスメを投げるぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SWING
;ヤマメーチョ;65;39;10;440;キスメを投げるぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SWING
;ヤマメートン;110;53;15;2600;キスメを投げるぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SWING
;キスメ投げ全一;10;60;10;3000;キスメを投げるぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_SWING
魂魄妖夢(30%);初段妖夢;65;35;15;200;通常攻撃をするぞ;f;f;true;f;f;f;f;f;true;f;true;f;f;f;f;f;f;ATTACK_SWORD
;８段妖夢;90;61;20;2400;通常攻撃をするぞ;f;f;true;f;f;f;f;f;true;f;true;f;f;f;f;f;f;ATTACK_SWORD
;皆伝妖夢;145;126;25;4600;通常攻撃をするぞ;f;f;true;f;f;f;f;f;true;f;true;f;f;f;f;f;f;ATTACK_SWORD
;*魂魄妖夢*;210;70;10;6000;通常攻撃をするぞ;f;f;true;f;f;f;f;f;true;f;true;f;f;f;f;f;f;ATTACK_SWORD
四季映姫ヤマザナドゥ(100%);執行者;255;255;20;0;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SMALL_OBJECT
;閻魔様;255;255;20;0;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SMALL_OBJECT
;絶対許ザナドゥ;255;255;20;0;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SMALL_OBJECT
;*四季映姫ヤマザナドゥ*;999;255;255;9999;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SMALL_OBJECT
射命丸文(0%);山の使いあや;32;21;5;72;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;ATTACK_SMALL_OBJECT
;天狗の使者あや;75;35;10;380;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;ATTACK_SMALL_OBJECT
;天狗神あや;155;80;15;3400;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;ATTACK_SMALL_OBJECT
;*射命丸文*;159;90;40;5000;通常攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;true;true;f;f;f;f;f;ATTACK_SMALL_OBJECT
十六夜咲夜(50%);ワールド咲夜;22;15;6;19;ナイフを投げるぞ;f;f;f;f;f;f;f;true;f;f;true;f;f;f;f;f;f;ATTACK_SWORD
;プラチナ咲夜;75;40;10;400;ナイフを投げるぞ;f;f;f;f;f;f;f;true;f;f;true;f;f;f;f;f;f;ATTACK_SWORD
;ザ・咲夜;129;70;20;3100;ナイフを投げるぞ;f;f;f;f;f;f;f;true;f;f;true;f;f;f;f;f;f;ATTACK_SWORD
;*十六夜咲夜*;141;110;40;3980;ナイフを投げるぞ;f;f;f;f;f;f;f;true;f;f;true;f;f;f;f;f;f;ATTACK_SWORD
小悪魔(40%);こあ魔導;49;20;10;60;杖を振るぞ;f;f;f;f;f;f;true;true;f;f;f;f;f;f;f;f;f;ATTACK_FIRE
;こあ魔王;90;34;15;500;杖を振るぞ;f;f;f;f;f;f;true;true;f;f;f;f;f;f;f;f;f;ATTACK_FIRE
;こあ魔神;122;50;20;3200;杖を振るぞ;f;f;f;f;f;f;true;true;f;f;f;f;f;f;f;f;f;ATTACK_FIRE
;*小悪魔*;999;255;255;9999;杖を振るぞ;f;f;f;f;f;f;true;true;f;f;f;f;f;f;f;f;f;ATTACK_FIRE
小野塚小町(30%);銭形小町;98;70;20;0;通常攻撃をするぞ;f;true;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SWORD
;血まみれ小町;80;60;15;2350;通常攻撃をするぞ;f;true;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SWORD
;引き寄せ小町;60;36;11;240;通常攻撃をするぞ;f;true;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SWORD
;*小野塚小町*;98;70;20;0;通常攻撃をするぞ;f;true;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;ATTACK_SWORD
上白沢慧音(10%);くねくね慧音;51;25;10;200;部屋内の敵のレベルを下げるぞ;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;ATTACK_HEAVY
;なよなよ慧音;95;45;15;700;部屋内の敵のレベルを下げるぞ;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;ATTACK_HEAVY
;へろへろ慧音;145;65;20;2000;部屋内の敵のレベルを下げるぞ;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;ATTACK_HEAVY
;*上白沢慧音*;100;50;40;2500;部屋内の敵のレベルを下げるぞ;f;f;f;f;f;f;f;f;f;true;f;f;f;f;f;f;f;ATTACK_HEAVY
人形(0%);にせもの;40;1;1;1;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;まるでほんもの;100;1;1;1;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;残念私は人形さ;255;1;1;1;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;*人形*;999;255;255;9999ff;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
雛形(0%);f;30;20;8;30ff;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;f;50;20;15;100ff;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;f;60;20;20;700ff;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
;*雛形*;999;255;255;9999ff;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;f;ATTACK_HANDS
星熊勇儀(0%);ミノ勇儀;100;40;5;600;会心攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_HEAVY
;メガ勇儀;130;60;10;2000;会心攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_HEAVY
;ギガ勇儀;170;110;15;5000;会心攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_HEAVY
;*星熊勇儀*;190;150;20;6000;会心攻撃をするぞ;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;f;ATTACK_HEAVY
聖白蓮(40%);バッド白蓮;55;20;10;60;杖を振るぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;ATTACK_AURA
;エビル白蓮;80;34;15;500;杖を振るぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;ATTACK_AURA
;デビル白蓮;130;50;20;1800;杖を振るぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;ATTACK_AURA
;*聖白蓮*;30;30;30;4000;杖を振るぞ;f;f;f;f;f;f;f;f;f;f;f;f;f;true;f;f;f;ATTACK_AURA
西行寺幽々子(40%);ゆゆこん仮面;39;16;15;66;部屋内の敵に死の宣告を当たるぞ;f;f;true;f;f;f;f;f;true;f;f;f;f;f;true;f;f;ATTACK_SMALL_OBJECT
;ゆゆこー王女;70;35;20;200;部屋内の敵に死の宣告を当たるぞ;f;f;true;f;f;f;f;f;true;f;f;f;f;f;true;f;f;ATTACK_SMALL_OBJECT
;ゆゆこーる女王;110;60;25;2600;部屋内の敵に死の宣告を当たるぞ;f;f;true;f;f;f;f;f;true;f;f;f;f;f;true;f;f;ATTACK_SMALL_OBJECT
;*西行寺幽々子*;135;50;50;3000;部屋内の敵に死の宣告を当たるぞ;f;f;true;f;f;f;f;f;true;f;f;f;f;f;true;f;f;ATTACK_SMALL_OBJECT
